OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,Kernels,B,M,N,K
linear,0.07740800082683563,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,6.6,3.3,11,3,2,64,1,1,cu121,";maxwell_sgemm_64x64_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,151,223,674
linear,0.05293866619467735,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,5.2,2.6,13,4,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,233,2,782
linear,0.055296000093221664,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,24.0,3.0,20,3,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,257,92,621
linear,0.05532800033688545,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,3.3,1.65,11,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,153,102,669
linear,0.05447466547290484,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,2.7,1.35,9,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,192,83,513
linear,0.07897600034872691,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,5.4,2.7,9,3,2,64,1,1,cu121,";maxwell_sgemm_64x64_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,166,251,532
linear,0.05993600065509478,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,11.2,1.4,7,2,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,58,186,827
linear,0.05285333345333735,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,9.6,1.2,6,4,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,123,30,759
linear,0.05443200096487999,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,6.4,0.8,8,2,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,41,44,1010
linear,0.05714133381843567,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,8.8,1.1,11,2,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,36,65,1287
linear,0.07558399935563405,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,10.0,5.0,25,4,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,244,85,1567
linear,0.08108799904584885,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,9.2,4.6,23,4,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,217,109,1436
linear,0.1063360000650088,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,8.4,4.2,28,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,160,205,1789
linear,0.09000533322493236,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,32.0,4.0,40,2,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,225,232,1272
linear,0.05733333403865496,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,3.8,1.9,19,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,127,116,1156
linear,0.05272533372044563,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,7.2,3.6,24,3,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,174,11,1496
linear,0.052949332942565284,Tesla P4,p2.1.0,8902,maxwell_sgemm_64x64_tn,3.8,1.9,19,2,1,64,1,1,cu121,;maxwell_sgemm_64x64_tn,1,113,4,1170
linear,0.056117333471775055,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,4.0,0.5,10,1,1,256,1,1,cu121,;maxwell_sgemm_128x32_tn,1,31,118,1163
linear,0.06201600035031637,Tesla P4,p2.1.0,8902,maxwell_sgemm_128x32_tn,8.0,1.0,10,1,2,256,1,1,cu121,";maxwell_sgemm_128x32_tn;void splitkreduce_kernel<32, 16, int, float, float, float, float, true, true, false>(cublassplitkparams<float>, float const*, float const*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*)",1,17,170,1170
linear,0.07246933380762736,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,25.6,3.2,64,1,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,122,143,2019
linear,0.05662933364510536,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,25.2,3.15,63,1,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,110,68,1993
linear,0.09089066584904988,Tesla P4,p2.1.0,8902,maxwell_sgemm_32x128_tn,23.6,2.95,59,1,1,256,1,1,cu121,;maxwell_sgemm_32x128_tn,1,125,243,1858
