OPName,Latency,Device,Torch Version,CUDNN Version,Kernel Name,Warps per SM,Blocks per SM,Grid x,Grid y,Grid z,Block x,Block y,Block z,CUDA Version,B,H,large
softmax,0.1081471994519233,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",90.42857,22.607143,1266,1,1,32,4,1,cu121,5062,810,True
softmax,0.1491392016410827,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",116.92857,29.232143,1637,1,1,32,4,1,cu121,6547,1007,True
softmax,0.1183871999382972,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",116.14286,29.035715,1626,1,1,32,4,1,cu121,6501,784,True
softmax,0.0908352002501487,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",104.35714,26.089285,1461,1,1,32,4,1,cu121,5842,515,True
softmax,0.128396800160408,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",130.78572,32.69643,1831,1,1,32,4,1,cu121,7321,735,True
softmax,0.1008640006184578,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",117.78571,29.446428,1649,1,1,32,4,1,cu121,6594,549,True
softmax,0.1687615990638732,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",140.92857,35.232143,1973,1,1,32,4,1,cu121,7890,1012,True
softmax,0.1072639986872673,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",81.57143,20.392857,1142,1,1,32,4,1,cu121,4568,877,True
softmax,0.1031872004270553,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",74.07143,18.517857,1037,1,1,32,4,1,cu121,4145,984,True
softmax,0.1302783995866775,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",121.21429,30.303572,1697,1,1,32,4,1,cu121,6788,818,True
softmax,0.11161600202322,Tesla P100-PCIE-16GB,p2.1.0,8902,"void (anonymous namespace)::softmax_warp_forward<float, float, float, 10, false, false>(float*, float const*, int, int, int, bool const*, int, bool)",124.92857,31.232143,1749,1,1,32,4,1,cu121,6996,622,True
